parent_1,parent_2,child
Relaxaurus,Sparkit,Relaxaurus Lux
Incineram,Maraith,Incineram Noct
Mau,Pengullet,Mau Cryst
Vanwyrm,Foxcicle,Vanwyrm Cryst
Eikthyrdeer,Hangyu,Eikthyrdeer Terra
Elphidran,Surfent,Elphidran Aqua
Pyrin,Katress,Pyrin Noct
Mammorest,Wumpo,Mammorest Cryst
Mossanda,Grizzbolt,Mossanda Lux
Dinossom,Rayhound,Dinossom Lux
Jolthog,Pengullet,Jolthog Cryst
Frostallion,Helzephyr,Frostallion Noct
Kingpaca,Reindrix,Ice Kingpaca
Lyleen,Menasting,Lyleen Noct
Leezpunk,Flambelle,Leezpunk Ignis
Blazehowl,Felbat,Blazehowl Noct
Robinquill,Fuddler,Robinquill Terra
Broncherry,Fuack,Broncherry Aqua
Surfent,Dumud,Surfent Terra
Gobfin,Rooby,Gobfin Ignis
Suzaku,Jormuntide,Suzaku Aqua
Reptyro,Foxcicle,Ice Reptyro
Hangyu,Swee,Gobfin Ignis
Frostallion,Frostallion,Frostallion
Jetragon,Jetragon,Jetragon
Paladius,Paladius,Paladius
Necromus,Necromus,Necromus
Mossanda,Petallia,Lyleen
Vanwyrm,Anubis,Faleris
Mossanda,Rayhound,Grizzbolt
Grizzbolt,Relaxaurus,Orserk
Kitsun,Astegon,Shadowbeak
Lyleen,Lyleen,Lyleen
Faleris,Faleris,Faleris
Grizzbolt,Grizzbolt,Grizzbolt
Orserk,Orserk,Orserk
Shadowbeak,Shadowbeak,Shadowbeak
Jormuntide Ignis,Jormuntide Ignis,Jormuntide Ignis
Relaxaurus Lux,Relaxaurus Lux,Relaxaurus Lux
Incineram Noct,Incineram Noct,Incineram Noct
Mau Cryst,Mau Cryst,Mau Cryst
Vanwyrm Cryst,Vanwyrm Cryst,Vanwyrm Cryst
Eikthyrdeer Terra,Eikthyrdeer Terra,Eikthyrdeer Terra
Elphidran Aqua,Elphidran Aqua,Elphidran Aqua
Pyrin Noct,Pyrin Noct,Pyrin Noct
Mammorest Cryst,Mammorest Cryst,Mammorest Cryst
Mossanda Lux,Mossanda Lux,Mossanda Lux
Dinossom Lux,Dinossom Lux,Dinossom Lux
Jolthog Cryst,Jolthog Cryst,Jolthog Cryst
Frostallion Noct,Frostallion Noct,Frostallion Noct
Ice Kingpaca,Ice Kingpaca,Ice Kingpaca
Lyleen Noct,Lyleen Noct,Lyleen Noct
Leezpunk Ignis,Leezpunk Ignis,Leezpunk Ignis
Blazehowl Noct,Blazehowl Noct,Blazehowl Noct
Robinquill Terra,Robinquill Terra,Robinquill Terra
Broncherry Aqua,Broncherry Aqua,Broncherry Aqua
Surfent Terra,Surfent Terra,Surfent Terra
Gobfin Ignis,Gobfin Ignis,Gobfin Ignis
Suzaku Aqua,Suzaku Aqua,Suzaku Aqua
Ice Reptyro,Ice Reptyro,Ice Reptyro
Hangyu Cryst,Hangyu Cryst,Hangyu Cryst
